         16168406 function calls (16154416 primitive calls) in 13.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.006    0.002 context.py:1(<module>)
     6553    0.004    0.000    0.006    0.000 sre_parse.py:163(__getitem__)
       36    0.000    0.000    0.006    0.000 __init__.py:1496(_add_data_doc)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:3(<module>)
      203    0.000    0.000    0.006    0.000 __init__.py:2765(_get_metadata)
        2    0.000    0.000    0.006    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.006    0.006 backend_bases.py:33(<module>)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
      220    0.001    0.000    0.005    0.000 sre_compile.py:482(_compile_info)
      491    0.000    0.000    0.005    0.000 colors.py:120(is_color_like)
        1    0.000    0.000    0.005    0.005 mathtext.py:2254(Parser)
        1    0.000    0.000    0.005    0.005 _parser.py:30(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:875(rc_params)
     3995    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x55617e2ede00}
       12    0.000    0.000    0.005    0.000 pyparsing.py:4251(__init__)
      681    0.001    0.000    0.005    0.000 re.py:184(sub)
      797    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.005    0.005 mathtext.py:2838(<lambda>)
        1    0.000    0.000    0.005    0.005 mathtext.py:2838(<listcomp>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
     1546    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.005    0.005 uuid.py:45(<module>)
    36/11    0.000    0.000    0.005    0.000 pyparsing.py:3743(leaveWhitespace)
      618    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
      714    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      471    0.001    0.000    0.005    0.000 pyparsing.py:1167(copy)
        1    0.000    0.000    0.005    0.005 version.py:191(Version)
       27    0.001    0.000    0.005    0.000 {built-in method builtins.eval}
       15    0.002    0.000    0.005    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_ctypes.py:24(<module>)
    24814    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        2    0.000    0.000    0.005    0.002 misc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 jit.py:34(<module>)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
        9    0.000    0.000    0.005    0.001 enum.py:366(_create_)
       66    0.001    0.000    0.005    0.000 abc.py:132(__new__)
      114    0.001    0.000    0.005    0.000 deprecation.py:183(deprecate)
  497/317    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      254    0.000    0.000    0.005    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
      787    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      281    0.001    0.000    0.005    0.000 function_base.py:441(add_newdoc)
     1546    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
       10    0.000    0.000    0.004    0.000 pyparsing.py:5101(__init__)
        1    0.000    0.000    0.004    0.004 table.py:20(<module>)
        1    0.000    0.000    0.004    0.004 util.py:310(find_library)
        1    0.000    0.000    0.004    0.004 basic.py:5(<module>)
     8386    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
      111    0.000    0.000    0.004    0.000 rcsetup.py:90(<listcomp>)
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
