         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.046    0.046 fontconfig_pattern.py:6(<module>)
     1614    0.002    0.000    0.045    0.000 artist.py:1319(is_alias)
      408    0.003    0.000    0.043    0.000 artist.py:1241(get_valid_values)
57984/57982    0.022    0.000    0.043    0.000 {built-in method builtins.isinstance}
       27    0.000    0.000    0.041    0.002 __init__.py:973(rc_params_from_file)
        1    0.000    0.000    0.040    0.040 _spherical_voronoi.py:6(<module>)
       12    0.000    0.000    0.039    0.003 artist.py:1193(__init__)
       12    0.002    0.000    0.039    0.003 artist.py:1213(get_aliases)
        1    0.000    0.000    0.039    0.039 requirements.py:4(<module>)
      677    0.008    0.000    0.039    0.000 decorator.py:93(__init__)
        1    0.000    0.000    0.038    0.038 distance.py:72(<module>)
        1    0.000    0.000    0.038    0.038 pyparsing.py:96(<module>)
   108920    0.038    0.000    0.038    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.038    0.038 multiarray.py:7(<module>)
   136747    0.037    0.000    0.037    0.000 value.py:135(is_instruction)
       39    0.002    0.000    0.036    0.001 __init__.py:357(namedtuple)
      212    0.000    0.000    0.035    0.000 decorators.py:29(not_implemented_for)
    95324    0.034    0.000    0.034    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.034    0.034 __init__.py:569(_build_master)
        1    0.000    0.000    0.034    0.034 __init__.py:556(__init__)
        1    0.000    0.000    0.034    0.034 core.py:12(<module>)
        1    0.000    0.000    0.034    0.034 core.py:151(load_base_library)
        1    0.000    0.000    0.034    0.034 core.py:182(read_style_directory)
        2    0.000    0.000    0.033    0.016 __init__.py:45(<module>)
        1    0.000    0.000    0.032    0.032 overrides.py:1(<module>)
        4    0.000    0.000    0.032    0.008 __init__.py:2(<module>)
     3701    0.011    0.000    0.032    0.000 _dtype.py:319(_name_get)
     1931    0.006    0.000    0.031    0.000 {method 'remove' of 'list' objects}
       27    0.006    0.000    0.031    0.001 __init__.py:908(_rc_params_in_file)
      714    0.018    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.031    0.031 env.py:130(reset)
    25658    0.010    0.000    0.031    0.000 {method 'get' of 'dict' objects}
      464    0.002    0.000    0.030    0.000 {built-in method builtins.sorted}
      640    0.002    0.000    0.030    0.000 __init__.py:2124(distributions_from_metadata)
     1792    0.004    0.000    0.030    0.000 __init__.py:774(__setitem__)
        2    0.000    0.000    0.030    0.015 __init__.py:7(<module>)
     4081    0.030    0.000    0.030    0.000 {built-in method posix.stat}
     3543    0.003    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.001    0.001    0.029    0.029 _axes.py:97(Axes)
       16    0.000    0.000    0.029    0.002 __init__.py:2011(_by_version_descending)
      797    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.001    0.001    0.028    0.028 numeric.py:1(<module>)
        1    0.000    0.000    0.028    0.028 env.py:141(__init__)
